serie,hour,day,month,value
15,02,03,09,28.0872
15,02,04,09,28.2376
15,02,05,09,28.5898
15,02,06,09,28.9965
15,02,07,09,29.4946
15,02,08,09,29.1255
15,02,09,09,28.1367
15,02,10,09,26.747
15,02,11,09,27.1386
15,02,12,09,27.7986
15,02,13,09,27.4392
15,02,14,09,28.0901
15,02,15,09,27.2257
15,02,16,09,26.0235
15,02,17,09,25.3779
15,02,18,09,25.5892
15,02,19,09,25.6517
15,02,20,09,25.5338
15,02,21,09,26.6126
15,02,22,09,27.0453
15,02,23,09,25.904
15,02,24,09,25.8946
15,02,25,09,25.8818
15,02,26,09,26.1772
15,02,27,09,25.7435
15,02,28,09,26.9255
15,02,29,09,26.302
15,02,30,09,26.512
15,02,01,10,26.5102
15,02,02,10,27.4471
15,02,03,10,28.1471
15,02,04,10,28.3
15,02,05,10,27.7388
15,02,06,10,27.9658
15,02,07,10,27.1653
15,02,08,10,26.1739
15,02,09,10,26.1571
15,02,10,10,26.2488
15,02,11,10,26.2812
15,02,12,10,25.8873
15,02,13,10,25.7676
15,02,14,10,22.4488
15,02,15,10,21.6058
15,02,16,10,21.1765
15,02,17,10,26.2495
15,02,18,10,25.0471
15,02,19,10,24.1441
15,02,20,10,23.455
15,02,21,10,22.884
15,02,22,10,21.9778
15,02,23,10,22.2866
15,02,24,10,22.858
15,02,25,10,22.8011
15,02,26,10,23.1916
15,02,27,10,23.1844
15,02,28,10,22.7125
15,02,29,10,22.1976
15,01,30,10,22.173
15,01,31,10,21.8235
15,01,01,11,21.2701
15,01,02,11,21.1745
15,01,03,11,20.0198
15,01,04,11,19.9241
15,01,05,11,19.4051
15,01,06,11,19.3763
15,01,07,11,19.1207
15,01,08,11,18.5364
15,01,09,11,22.0119
15,01,10,11,21.1518
15,01,11,11,19.7744
15,01,12,11,18.8129
15,01,13,11,21.0187
15,01,14,11,21.0472
15,01,15,11,20.3844
15,01,16,11,21.7159
15,01,17,11,21.5597
15,01,18,11,19.6546
15,01,19,11,18.482
15,01,20,11,20.2247
15,01,21,11,21.2086
15,01,22,11,21.6273
15,01,23,11,22.6406
15,01,24,11,22.9252
15,01,25,11,21.1504
15,01,26,11,19.3161
15,01,27,11,20.2358
15,01,28,11,21.3035
15,01,29,11,21.6603
15,01,30,11,21.0545
15,01,01,12,19.8275
15,01,02,12,17.0546
15,01,03,12,14.9034
15,01,04,12,16.6992
15,01,05,12,17.8617
15,01,06,12,15.6378
15,01,07,12,15.664
15,01,08,12,15.0412
15,01,09,12,15.1143
15,01,10,12,15.152
15,01,11,12,17.3873
15,01,12,12,18.7374
15,01,13,12,19.1156
15,01,14,12,20.2504
15,01,15,12,20.1896
15,01,16,12,18.0389
15,01,17,12,15.8289
15,01,18,12,17.5231
15,01,19,12,18.755
15,01,20,12,18.7375
15,01,21,12,19.9612
15,01,22,12,19.6514
15,01,23,12,17.6992
15,01,24,12,15.8143
15,01,25,12,14.7581
15,01,26,12,14.1179
15,01,27,12,13.8455
15,01,28,12,14.1935
15,01,29,12,14.7938
15,01,30,12,15.2731
15,01,31,12,15.2489
15,01,01,01,14.3758
15,01,02,01,14.0651
15,01,03,01,14.3188
15,01,04,01,14.8058
15,01,05,01,14.7257
15,01,06,01,13.6206
15,01,07,01,12.2271
15,01,08,01,14.3836
15,01,09,01,16.6659
15,01,10,01,17.0391
15,01,11,01,18.2611
15,01,12,01,18.363
15,01,13,01,16.0805
15,01,14,01,14.2661
15,01,15,01,15.5162
15,01,16,01,17.4779
15,01,17,01,17.9429
15,01,18,01,18.6857
15,01,19,01,19.5703
15,01,20,01,17.7568
15,01,21,01,16.8411
15,01,22,01,17.8422
15,01,23,01,19.3525
15,01,24,01,19.4326
15,01,25,01,19.6977
15,01,26,01,16.9467
15,01,27,01,14.52
15,01,28,01,15.8523
15,01,29,01,16.6198
15,01,30,01,18.0302
15,01,31,01,19.4603
15,01,01,02,19.2673
15,01,02,02,18.2795
15,01,03,02,17.949
15,01,04,02,18.3487
15,01,05,02,18.1984
15,01,06,02,19.5318
15,01,07,02,20.5534
15,01,08,02,20.1314
15,01,09,02,19.0628
15,01,10,02,19.0817
15,01,11,02,19.232
15,01,12,02,19.4786
15,01,13,02,18.8933
15,01,14,02,20.5415
15,01,15,02,21.2311
15,01,16,02,21.7703
15,01,17,02,20.217
15,01,18,02,18.5867
15,01,19,02,20.2705
15,01,20,02,21.7158
15,01,21,02,21.6655
15,01,22,02,20.3526
15,01,23,02,20.8212
15,01,24,02,18.0655
15,01,25,02,16.5436
15,01,26,02,18.4545
15,01,27,02,20.4375
15,01,28,02,20.8421
15,01,01,03,20.4649
15,01,02,03,20.4471
15,01,03,03,17.9904
15,01,04,03,17.0859
15,01,05,03,18.25
15,01,06,03,19.7762
15,01,07,03,19.7806
15,01,08,03,19.8
15,01,09,03,20.1621
15,01,10,03,18.8772
15,01,11,03,17.1058
15,01,12,03,18.2991
15,01,13,03,20.3154
15,01,14,03,20.9442
15,01,15,03,21.5317
15,01,16,03,20.8071
15,01,17,03,19.1444
15,01,18,03,16.8692
15,01,19,03,17.4179
15,01,20,03,19.0561
15,01,21,03,19.4267
15,01,22,03,20.3319
15,01,23,03,19.8082
15,01,24,03,17.6095
15,01,25,03,16.2038
15,02,26,03,15.7495
15,02,27,03,16.4677
15,02,28,03,17.3405
15,02,29,03,17.2711
15,02,30,03,16.4727
15,02,31,03,15.3493
15,02,01,04,15.52
15,02,02,04,17.1284
15,02,03,04,19.762
15,02,04,04,20.4683
15,02,05,04,21.908
15,02,06,04,21.733
15,02,07,04,20.2084
15,02,08,04,19.0328
15,02,09,04,19.6013
15,02,10,04,20.0649
15,02,11,04,20.1733
15,02,12,04,20.0653
15,02,13,04,19.6858
15,02,14,04,18.9639
15,02,15,04,18.2534
15,02,16,04,19.1299
15,02,17,04,19.4395
15,02,18,04,21.0222
15,02,19,04,22.1233
15,02,20,04,21.6504
15,02,21,04,20.7754
15,02,22,04,19.8646
15,02,23,04,20.0675
15,02,24,04,21.6173
15,02,25,04,22.5413
15,02,26,04,24.1118
15,02,27,04,23.6041
15,02,28,04,22.5537
15,02,29,04,19.9867
15,02,30,04,18.6277
15,02,01,05,18.3452
15,02,02,05,19.5824
15,02,03,05,20.0936
15,02,04,05,19.5871
15,02,05,05,19.5758
